國文,英文,數學,社會,自然
11,10,15,11,10
8,7,11,14,14
12,8,14,13,11
11,6,8,15,15
14,13,14,11,9
13,14,9,10,15
14,9,10,15,14
7,6,15,13,10
9,10,9,6,15
15,6,8,6,7
8,14,14,7,14
10,10,15,14,15
7,13,11,10,13
10,12,12,8,11
7,11,11,14,7
12,7,14,10,14
6,9,9,13,6
12,15,15,7,9
15,15,12,6,15
9,14,15,10,7
9,15,11,13,8
9,15,9,8,6
10,7,7,15,9
7,15,9,8,12
8,8,8,10,14
14,14,10,14,14
10,15,9,7,11
8,10,13,7,10
13,13,8,14,11
11,13,10,11,7
14,13,11,11,11
10,6,13,6,8
7,14,10,11,9
15,11,12,6,9
14,12,13,9,8
14,14,12,14,14
12,12,15,7,14
7,13,14,8,11
12,10,10,14,6
7,15,12,11,14
7,8,6,13,9
6,8,12,15,9
7,7,8,11,6
10,8,12,9,8
7,13,8,10,7
8,14,6,12,9
11,12,7,6,9
6,13,10,10,6
12,12,9,15,12
9,8,9,12,9
14,12,13,13,6
14,15,7,10,11
7,15,11,8,12
11,6,9,7,6
8,6,9,11,9
8,15,7,6,7
14,8,13,14,13
15,14,7,11,13
7,12,15,8,10
12,8,11,13,7
14,15,11,13,14
9,14,11,6,15
14,11,6,6,9
12,15,14,13,13
15,14,6,14,9
15,8,8,7,7
10,14,13,14,14
12,10,9,14,8
15,11,12,7,12
14,10,12,13,8
12,14,7,14,8
14,12,13,7,11
8,10,8,9,8
7,11,6,11,10
14,8,6,10,15
8,8,9,6,6
15,12,10,8,7
13,15,8,7,11
15,7,14,15,12
15,8,11,14,11
7,10,15,9,11
10,13,15,14,6
6,7,10,6,8
7,11,8,9,9
6,9,15,14,12
11,9,13,15,7
7,12,7,6,8
10,11,9,13,11
15,6,7,9,13
12,11,10,8,13
13,11,6,11,6
12,12,15,11,10
6,9,12,15,11
13,9,13,14,9
14,10,7,7,6
9,11,13,13,14
14,12,8,7,14
10,7,14,13,12
9,10,14,13,6
13,11,14,10,15
